,nBalls,meanGap,nBins,batchPercentage,beta,std
5,10000000,19.795,10000,0.01,0,1.6390262460302092
6,100000000,100.95,10000,0.01,0,5.560765284811419
7,100,1.02,10000,0.05,0,0.17101529509309654
8,1000,1.8999999999999997,10000,0.05,0,2.2260180681725107e-16
9,10000,2.625,10000,0.05,0,0.5056216632341403
10,100000,4.49,10000,0.05,0,0.6097202587825413
11,1000000,13.115,10000,0.05,0,1.349399643169111
12,10000000,60.225,10000,0.05,0,3.720697913674815
13,100000000,497.41,10000,0.05,0,14.176982548160742
14,100,1.06,10000,0.1,0,0.25578728599833095
15,1000,1.9049999999999998,10000,0.1,0,0.07071067811865477
16,10000,3.045,10000,0.1,0,0.37906921180265146
17,100000,5.98,10000,0.1,0,0.7891220234153878
18,1000000,20.05,10000,0.1,0,1.8259712085001112
19,10000000,114.07,10000,0.1,0,5.1690128136169955
20,100000000,1008.525,10000,0.1,0,18.747981465886564
21,100,1.185,10000,0.5,0,0.3971949384061652
22,1000,2.2399999999999993,10000,0.5,0,0.474897502826615
23,10000,4.535,10000,0.5,0,0.6487521845704448
24,100000,13.25,10000,0.5,0,1.3403292177895332
25,1000000,66.775,10000,0.5,0,3.829845110162968
26,10000000,526.55,10000,0.5,0,12.392147781283349
27,100000000,5020.205,10000,0.5,0,42.1277427420781
28,100,1.455,10000,1.0,0,0.5099758591192549
29,1000,2.7249999999999996,10000,1.0,0,0.44198615226494353
30,10000,5.7,10000,1.0,0,0.7893767021450832
31,100000,14.275,10000,1.0,0,1.3961090942383676
32,1000000,41.09,10000,1.0,0,3.416174945210126
33,10000000,125.605,10000,1.0,0,11.123743224139206
34,100000000,385.98,10000,1.0,0,27.496360654570832
0,100,1.6,100,0.01,0,0.4911273054420349
1,1000,2.055,100,0.01,0,0.33546637453284506
2,10000,3.29,100,0.01,0,0.7803491036825059
3,100,1.73,100,0.05,0,0.4562244003969844
4,1000,2.565,100,0.05,0,0.5979655626123898
5,10000,7.725,100,0.05,0,1.7903636530186406
6,100,1.85,100,0.1,0,0.4566647715423636
7,1000,3.215,100,0.1,0,0.8012396174822581
8,10000,12.21,100,0.1,0,2.269726479436958
9,100,2.535,100,0.5,0,0.6409595507741835
10,1000,7.73,100,0.5,0,1.7442223361111235
11,10000,50.085,100,0.5,0,5.547218507128519
12,100,3.215,100,1.0,0,0.6936720439246582
13,1000,8.63,100,1.0,0,1.6543227978837716
14,10000,25.44,100,1.0,0,4.328983772493559
0,100,1.1850000000000003,1000,0.01,0,0.4525472295516506
1,1000,2.015,1000,0.01,0,0.12185748327926268
2,10000,2.425,1000,0.01,0,0.5056216632341403
3,100000,4.69,1000,0.01,0,0.8044474366867981
4,1000000,16.35,1000,0.01,0,2.083073685662487
5,100,1.3200000000000003,1000,0.05,0,0.49479704991341145
6,1000,2.1,1000,0.05,0,0.3007528242702513
7,10000,3.525,1000,0.05,0,0.6092874163963132
8,100000,10.53,1000,0.05,0,1.3334128954486466
9,1000000,52.36,1000,0.05,0,4.413364809838817
10,100,1.405,1000,0.1,0,0.5111569299492826
11,1000,2.255,1000,0.1,0,0.4483078177965308
12,10000,4.535,1000,0.1,0,0.6790290141150451
13,100000,16.305,1000,0.1,0,2.050119496455937
14,1000000,101.725,1000,0.1,0,6.209036614354273
15,100,1.8499999999999996,1000,0.5,0,0.37174044005713086
16,1000,3.59,1000,0.5,0,0.6664237413351023
17,10000,10.835,1000,0.5,0,1.496318765920628
18,100000,59.02,1000,0.5,0,4.205715183058052
19,1000000,503.99,1000,0.5,0,16.592663511686734
20,100,2.0399999999999996,1000,1.0,0,0.3887875755402587
21,1000,4.59,1000,1.0,0,0.7172672875637403
22,10000,11.605,1000,1.0,0,1.4067229104317838
23,100000,33.66,1000,1.0,0,4.103485465409147
24,1000000,104.065,1000,1.0,0,11.190033927405333
0,100,0.995,10000,0.01,0,0.07071067811865477
1,1000,1.8699999999999997,10000,0.01,0,0.17101529509309654
